Activity Name,Quests (Goals),Concerns,Related Behaviors,Tag,Instruction/Content,Activity Image,Media,Created By,Name,Status
Only buy things that I don't already have at home.,Establish responsible financial habits,Debt,,,"Steps:
Step 1: Take a moment to think about the things you already have at home. This includes toys, books, clothes, and any other items that you might be thinking about buying.

Step 2: Make a list of the things you need to buy. Be sure to only include items that you don't already have at home. This will help you avoid buying things that you already own.

Step 3: Before going to the store or shopping online, review your list and double-check if you have any of the items on it at home. If you do, cross them off the list.

Step 4: When you're at the store or browsing online, refer to your list and only buy the things that are not crossed off. This will help you stay focused on buying only what you need.

Step 5: After you've finished shopping, take a moment to reflect on your purchases. Ask yourself if you followed the rule of only buying things you don't already have at home. If you did, give yourself a pat on the back for making wise choices!

Example:
Once upon a time, there was a sixth-grader named Alex who loved going shopping. Alex had a collection of toys, books, and clothes that were already filling up the shelves in their room. One day, Alex's mom reminded them about the importance of not buying things they already had at home.

So, Alex decided to give it a try. They sat down at their desk and made a list of the things they needed to buy. They thought about each item carefully, making sure it was something they didn't already have. The list included a new sketchbook, a pair of running shoes, and a puzzle.

The next day, Alex and their mom went to the store. Before leaving, Alex took out their list and checked it twice. They realized that they already had a sketchbook at home, so they crossed it off the list. Now, they knew exactly what they needed to buy.

As they wandered through the store, Alex stayed focused on their list. They found the perfect pair of running shoes and added it to the cart. Then, they came across a beautiful puzzle, but quickly remembered that they already had a few puzzles waiting to be solved at home. So, they resisted the temptation and continued shopping for the remaining items on their list.

Once they were done, Alex and their mom headed to the checkout counter. As they unloaded their items, Alex couldn't help but feel proud of themselves for sticking to the rule of only buying things they didn't already have. They knew they had made wise choices and were excited to use their new running shoes and challenge themselves with the puzzle.

And so, Alex learned the importance of only buying things they didn't already have at home. They discovered that by following this simple rule, they could avoid clutter and make mindful decisions while shopping.",,,Caitlyn Wang,,Reviewing
Organize my room/space,,Executive Functioning Skills,,,"Steps:
Step 1: Clear out clutter
- Start by removing any items that are not needed or no longer used in your room.
- Sort these items into categories such as donate, throw away, or put in storage.

Step 2: Create designated spaces
- Decide on specific areas for different items in your room.
- For example, have a designated spot for books, toys, clothes, and school supplies.

Step 3: Organize belongings
- Arrange your belongings neatly in their designated spaces.
- Use storage containers, shelves, or bins to keep things organized and easily accessible.

Step 4: Clean and tidy up
- Dust surfaces, sweep or vacuum the floor, and make sure everything is clean.
- Wipe down any surfaces or objects that may have collected dust or dirt.

Step 5: Maintain and update
- Make it a habit to regularly tidy up and put things back in their designated spaces.
- Periodically reassess your room organization and make adjustments as needed.

Example:
Once upon a time, there was a sixth-grader named Emily who wanted to organize her room. Her room was filled with toys, books, clothes, and school supplies, making it difficult for her to find what she needed. Emily decided to follow some simple steps to make her room more organized.

Step 1: Emily started by clearing out clutter. She went through her room and gathered items that she no longer used or needed. She sorted these items into different categories, such as toys to donate, broken things to throw away, and seasonal items to put in storage.

Step 2: Next, Emily created designated spaces for her belongings. She decided that her books would go on the bookshelf, toys in the toy chest, clothes in the closet, and school supplies in a desk organizer. This way, she would know exactly where to find things and where to put them back.

Step 3: Emily began organizing her belongings in their designated spaces. She neatly arranged her books on the bookshelf, sorted her toys into different bins in the toy chest, hung up her clothes in the closet, and organized her school supplies in the desk organizer. Now everything had its own place!

Step 4: With her belongings in order, Emily proceeded to clean and tidy up her room. She dusted all the surfaces, swept the floor, and made sure everything was spick and span. She also wiped down her desk and shelves to remove any lingering dust or dirt.

Step 5: Finally, Emily made a commitment to maintain and update her organized room. She developed a habit of tidying up regularly and putting things back in their designated spaces. Every few months, she would reassess her room organization and make adjustments if needed.

With her room now organized, Emily felt a sense of calm and ease whenever she entered her space. She could easily find what she needed, and her room looked tidy and inviting. Emily realized that organizing her room not only made her physical space more pleasant but also helped her feel more organized and focused in other areas of her life.",,,Caitlyn Wang,,Reviewing
pack healthy lunch and snack,,Declining physical health,,,"Steps:
Step 1: Gather your ingredients
- Look for a variety of healthy foods such as fruits, vegetables, whole grains, and lean proteins.
- Make sure to include a reusable water bottle for hydration.

Step 2: Plan your meal
- Decide what foods you want to include in your lunch and snack.
- Aim for a balanced meal with a mix of carbohydrates, proteins, and healthy fats.

Step 3: Prepare your lunch and snack
- Wash and chop your fruits and vegetables.
- Assemble sandwiches or wraps using whole grain bread or tortillas.
- Pack your lunch and snack in separate containers to keep them fresh.

Step 4: Pack it up
- Use a lunchbox or a reusable bag to pack your lunch and snack.
- Make sure to include an ice pack or a frozen water bottle to keep your food cool.

Step 5: Enjoy your healthy meal and snack
- Take your lunch and snack with you to school.
- Eat mindfully, savoring each bite and taking time to enjoy your food.

Example:
Meet Sarah, a sixth-grader who loves to pack a healthy lunch and snack every day. She knows that eating nutritious food helps her stay focused and energized throughout the day. 

Step 1: Gathering her ingredients
Sarah opens her fridge and grabs an apple, a bunch of grapes, some baby carrots, and a container of hummus. She also takes out some whole wheat bread and turkey slices from the pantry. Lastly, she fills her water bottle with cold water.

Step 2: Planning her meal
Sarah thinks about what she wants for lunch and decides to make a turkey and veggie wrap. She knows she needs carbohydrates, so she chooses whole wheat bread. For protein, she selects turkey slices. To add some crunch and extra vitamins, she includes baby carrots.

Step 3: Preparing her lunch and snack
Sarah washes the grapes and baby carrots under running water. She then slices the apple into thin wedges and puts them in a separate container to prevent them from getting soggy. Next, she spreads hummus on the bread, adds turkey slices and baby carrots, and rolls it up into a delicious wrap.

Step 4: Packing it up
Sarah grabs her lunchbox and places the wrap in one compartment and the container with apple wedges in another. She puts the container of grapes and the water bottle in the remaining spaces. She adds an ice pack to keep everything cool and fresh.

Step 5: Enjoying her healthy meal and snack
The next day at school, Sarah unpacks her lunchbox and sits down at the lunch table. She takes her time eating her turkey and veggie wrap, savoring each bite. After finishing her wrap, she enjoys the sweet and juicy grapes and the crisp baby carrots. Throughout the day, she sips on her water, feeling refreshed and ready to tackle any challenge that comes her way. Sarah knows that her healthy lunch and snack are helping her be her best self.",,,Caitlyn Wang,,Reviewing
pack my backpack the night before,Plan better (time management),"Personal Care and Hygiene,Executive Functioning Skills",,,"Steps:
Step 1: Gather all the materials you will need to pack your backpack. This includes your textbooks, notebooks, pencils, pens, and any other necessary school supplies.

Step 2: Organize your materials in a neat and orderly manner. Place your textbooks in one section, notebooks in another, and smaller items like pencils and pens in a separate compartment or pocket.

Step 3: Check your schedule or agenda to see what classes you have the next day. Make sure you have the correct textbooks and notebooks for each class. If you have any assignments or homework that needs to be turned in, place them in a designated folder or pocket.

Step 4: Double-check your backpack to ensure you have everything you need. Take a moment to think about any additional items you might need, such as a calculator, gym clothes, or a lunchbox. Add these items to your backpack as necessary.

Step 5: Once you have packed everything, zip up your backpack and place it near your front door or in a designated area where you won't forget it in the morning. This way, when you wake up, you can simply grab your backpack and head off to school without any last-minute rushing or panic.

Example:
Emily, a diligent and organized sixth-grader, knew the importance of packing her backpack the night before to start her school day smoothly. She gathered all her materials, making sure to have her textbooks, notebooks, pencils, pens, and other school supplies within reach. 

With a clear plan in mind, Emily meticulously organized her materials. Her textbooks found their place in one section, notebooks in another, and smaller items like pencils and pens went into a separate compartment. Everything had its designated spot, making it easier for her to find what she needed during the day.

Emily consulted her schedule for the next day, carefully checking which classes she had. She double-checked her backpack to ensure she had the correct textbooks and notebooks for each class. She also remembered to place any completed assignments or homework in a special folder, ready to be turned in to her teachers.

Taking a moment to think ahead, Emily considered any additional items she might need. She grabbed her calculator and added it to her backpack, anticipating a math test the next day. She also packed her gym clothes since she had physical education class in the morning. Lastly, she made sure to include her lunchbox, ensuring she wouldn't go hungry during the day.

With everything neatly packed, Emily zipped up her backpack and placed it near her front door. She knew that having it in a designated area would prevent her from forgetting it in the morning rush. Now, she could rest easy, knowing that when she woke up, her backpack would be ready and waiting, allowing her to start the day on the right foot.",,,Caitlyn Wang,,Reviewing
Participate in a family game night,"Deepen the most important relationships,Be a better friend or family member",,,,"Steps:
Step 1: Choose a game - Look through your family's collection of board games, card games, or any other games you have. Pick a game that everyone in the family can enjoy and agree on.

Step 2: Set up the game - Read the instructions that come with the game to learn how to set it up. Lay out the game board, cards, or any other components needed for the game. Make sure everyone understands the rules and how to play.

Step 3: Take turns - Decide who will go first. Follow the rules of the game and take turns playing. Pay attention to the order and keep track of whose turn it is. Be patient and wait for your turn.

Step 4: Follow the rules - Play the game according to the rules. Don't cheat or break any of the game's guidelines. This will make it fair for everyone and ensure a fun and enjoyable experience for all.

Step 5: Have fun and be a good sport - Remember that the main goal of game night is to have fun and spend quality time with your family. Enjoy the game, laugh, and be a good sport whether you win or lose. Show good sportsmanship by congratulating others on their successes and being gracious if you don't win.

Example:
Once upon a time, in a cozy living room, the Smith family gathered for their weekly game night. They all sat around the coffee table, excited to spend time together. Sarah, the youngest member of the family, suggested playing a game of Monopoly.

Step 1: Sarah and her family started by going through their collection of games. They found Monopoly and all agreed that it would be a great choice for the evening.

Step 2: Sarah carefully read the instructions and set up the game board, placing the colorful properties, cards, and money in their designated spots. She made sure to explain the rules to her family, ensuring everyone understood how to play.

Step 3: They decided that Sarah's dad would go first. They took turns rolling the dice, moving their tokens along the board, and buying properties. Sarah paid close attention to whose turn it was and eagerly awaited her own.

Step 4: Throughout the game, they followed the rules, never skipping any steps or bending the rules in their favor. They respected the game's guidelines, making the experience fair and enjoyable for everyone.

Step 5: As the game progressed, laughter filled the room, and the family cheered each other on. Sarah showed excellent sportsmanship, congratulating her siblings when they acquired properties and being gracious when she had to pay rent. She embraced the spirit of game night, having fun and cherishing the time spent with her family.

In the end, the Smith family finished their game of Monopoly, feeling closer to one another and satisfied with their evening together. They eagerly looked forward to their next game night, knowing it would be another opportunity to bond and create lasting memories.",,,Caitlyn Wang,,Reviewing
Pay my rent on time,Adulting and independent living,,,,"Steps:
Step 1: Calculate the Amount Due
- Write down the total amount of rent that needs to be paid each month.
- If you are unsure about the amount, ask your parent or guardian to help you find out.
- Make sure to double-check the amount to avoid any mistakes.

Step 2: Set Reminders
- Decide on a specific day each month when you will pay your rent.
- Set a reminder on your phone or use a calendar to mark the due date.
- Choose a time when you know you will have the necessary funds available.

Step 3: Save Money
- Create a savings plan to set aside the money needed for rent.
- If your rent is due on the 15th of each month, for example, start saving a little bit each week or month leading up to that date.
- Consider cutting back on unnecessary expenses or finding ways to earn extra money to help reach your rent goal.

Step 4: Paying the Rent
- On the designated day, gather the necessary funds to pay your rent.
- If you receive an allowance or have a part-time job, make sure to have the money ready.
- If you don't have the full amount, ask your parent or guardian for help or discuss alternative options with your landlord.

Step 5: Confirm Payment
- After paying your rent, make sure to keep a record or receipt as proof of payment.
- If you paid online, take a screenshot or save an electronic copy of the transaction.
- If you paid in person, ask for a receipt from your landlord or property manager.

Example:
Once upon a time, there was a sixth-grader named Alex who took on the responsibility of paying their own rent. Alex knew that paying rent on time was crucial to maintain a good relationship with their landlord and ensure a stable living situation.

To begin, Alex calculated the amount of rent due each month by looking at the lease agreement. They discovered that the total amount was $500. With this information in mind, Alex moved on to the next step.

Setting reminders became Alex's next task. They decided to pay their rent on the 1st of every month. Using their phone, Alex set a reminder for the due date, ensuring they wouldn't forget. They also made sure to set the reminder at a time when they knew they would have the necessary funds available.

To ensure they had enough money for rent, Alex created a savings plan. They started saving $125 each week, so by the time the 1st of the month came around, they would have the full amount saved up. Alex made a few sacrifices, like cutting back on buying snacks during school, to reach their goal.

When the 1st of the month finally arrived, Alex gathered the $500 they had saved. They made sure to have the money in cash to pay their landlord directly. If they didn't have the full amount, Alex would have asked their parent for help or discussed alternative options with the landlord.

After handing over the cash to their landlord, Alex asked for a receipt as proof of payment. The landlord happily provided one, and Alex made sure to keep it in a safe place. This way, if any questions arose in the future, Alex would have documentation to support their claim of on-time payment.

By following these steps, Alex successfully paid their rent on time each month, ensuring a positive living situation and peace of mind.",,,Caitlin Ryan Marcus,,Reviewing
pick out tomorrow's clothes the night before,Plan better (time management),"Executive Functioning Skills,Personal Care and Hygiene",,,"Steps:
Step 1: Before going to bed, take a few minutes to check the weather forecast for tomorrow. This will help you decide what type of clothes to wear.

Step 2: Look through your wardrobe and choose an outfit that is appropriate for the weather. Consider the temperature, whether it will be sunny or rainy, and any other factors that might affect your clothing choice.

Step 3: Once you have chosen your outfit, lay it out on a chair or hang it somewhere visible in your room. This will make it easier for you to find it in the morning and prevent any last-minute rush.

Step 4: Make sure you have all the necessary accessories and items to complete your outfit. This includes shoes, socks, belts, jewelry, or any other items that you plan to wear.

Step 5: Finally, double-check your outfit choice to ensure that you feel comfortable and confident in it. If you have any doubts or want to make any changes, do it before you go to bed.

Example:
Sarah, a sixth-grader, had learned the importance of picking out her clothes the night before. She knew that it would save her time and reduce stress in the morning. As she prepared for bed, Sarah remembered to check the weather forecast on her tablet. She saw that it would be a sunny day, but a bit chilly, so she decided to wear jeans, a cozy sweater, and her favorite sneakers.

After making her decision, Sarah went to her wardrobe and carefully selected the items she needed. She put the jeans, sweater, and sneakers together and laid them out on the chair next to her desk. Looking at her outfit, she felt excited about wearing it the next day.

Before getting into bed, Sarah made sure she had everything she needed to complete her outfit. She found a matching pair of socks and her favorite necklace, and placed them on top of the clothes. Satisfied with her choices, she smiled and thought about how much time she would save in the morning.

The next day, Sarah woke up feeling refreshed. She glanced at the chair and saw her outfit waiting for her. She quickly got dressed, feeling confident and ready for the day ahead. Thanks to her decision to pick out her clothes the night before, Sarah started her day on a positive note, without any stress or rushing around.",,,Caitlyn Wang,,Reviewing
Plan a date night,Strengthen my marriage,,,,"Steps:
Step 1: Choose a date and time for your date night.
Step 2: Decide on an activity or outing for your date night.
Step 3: Plan and prepare for your date night.
Step 4: Enjoy your date night.
Step 5: Reflect on your date night experience.

Example:
Once upon a time, there was a sixth-grader named Lily who wanted to plan a special date night for her parents. She knew that they had been working hard and deserved a break, so she decided to surprise them with a fun and relaxing evening.

Step 1: Lily first chose a date and time for the date night. She knew that her parents were usually free on Saturday evenings, so she picked the upcoming Saturday night for their special date.

Step 2: Lily brainstormed different activities and outings that her parents would enjoy. She thought about their interests and decided that a picnic in the park would be perfect. She imagined her parents sitting on a cozy blanket, enjoying delicious food, and chatting away.

Step 3: Next, Lily started to plan and prepare for the date night. She made a list of all the items she would need for the picnic, such as a blanket, a basket, plates, cups, and food. She then checked the weather forecast to make sure it wouldn't rain on their special evening.

Step 4: On the day of the date night, Lily helped her parents get ready by reminding them to dress comfortably and bring a jacket in case it got chilly later. She packed the picnic basket with their favorite snacks, sandwiches, and drinks. Lily led her parents to the park, where she had set up a cozy spot under a shady tree.

Step 5: As the evening unfolded, Lily watched her parents relax and enjoy their time together. They laughed, shared stories, and simply enjoyed each other's company. After the picnic, they took a leisurely stroll around the park, soaking in the beautiful surroundings. 

Reflecting on the date night, Lily felt a sense of joy and fulfillment. She saw how her parents' stress seemed to melt away, and she was proud of herself for creating such a memorable evening for them. Lily realized that sometimes, putting in a little effort to plan something special could make a big difference in someone's life.",,,Caitlin Ryan Marcus,,Reviewing
Plan for traffic by looking it up and leaving earlier,Plan better (time management),Attendance,No Show,,"Steps:
1. Research Traffic Conditions: Start by using a reliable traffic app or website to research the current traffic conditions in your area. Look for any potential roadblocks, accidents, or heavy congestion that may affect your route.

2. Determine Optimal Departure Time: Based on the traffic information you gathered, determine the best time for you to leave your house. Consider leaving earlier than usual to allow for any unexpected delays on the road.

3. Prepare in Advance: The night before, make sure to pack your bag, organize your belongings, and get everything ready for the next day. This will help you save time in the morning and prevent any last-minute rushing.

4. Set Your Alarm: To ensure you wake up on time, set your alarm clock or use your phone's alarm feature. Make sure to set it early enough to give yourself plenty of time to get ready and leave the house.

5. Stick to the Plan: Follow your plan by waking up on time, getting ready efficiently, and leaving the house at the designated time. Stay calm and focused while driving, following all traffic rules and regulations.

Example:
Meet Emily, a sixth-grader who loves to be punctual and hates being late for school. She recently learned about the importance of planning for traffic to avoid unnecessary stress and delays. Emily decided to implement this new strategy to ensure a smooth morning routine.

One morning, Emily started by researching traffic conditions in her area using a popular traffic app. She discovered that there was a construction site near her school, which could potentially cause delays. Taking this into account, she determined that leaving her house 15 minutes earlier than usual would be a wise decision.

The night before, Emily packed her bag, organized her belongings, and laid out her clothes for the next day. She also set her alarm clock for 6:30 a.m., giving her ample time to get ready and leave the house on time.

The next morning, Emily's alarm went off as planned. She woke up promptly, feeling refreshed and ready for the day ahead. She quickly got dressed, brushed her teeth, and grabbed her prepared bag. With a calm and focused mindset, Emily left the house at 7:15 a.m., well ahead of her usual departure time.

As Emily drove towards school, she encountered some road construction but managed to navigate through it smoothly. Thanks to her early departure, she arrived at school with plenty of time to spare. She felt a sense of accomplishment and satisfaction, knowing that her plan for traffic had worked perfectly.

By following these steps, just like Emily did, you can plan for traffic and ensure a stress-free and punctual start to your day.",,,Caitlyn Wang,,Reviewing
play a game with my child(ren),,"Parenting Stress,Good Families",Failure to allocate time for family,,"Steps:
Step 1: Gather the necessary materials. Find a deck of cards and a flat surface to play on, such as a table or the floor.

Step 2: Shuffle the deck of cards. Mix up the cards so they are in a random order. This will make the game more exciting and unpredictable.

Step 3: Deal the cards. Give each player an equal number of cards. For example, if there are two players, each player can start with five cards. Make sure to keep the cards facing down so nobody can see them yet.

Step 4: Take turns playing the game. Decide who will go first and take turns clockwise. Each player should pick one card from their hand and place it face up on the table. The player with the highest card wins that round and gets to keep both cards. Continue playing until all the cards have been used.

Step 5: Keep track of the winner. As you play, keep a tally of how many rounds each player has won. This will help determine the overall winner of the game.

Example:
Emily and her younger brother, Jake, sat down at the dining table with a deck of cards. They were excited to play a game together. Emily shuffled the cards, making sure to mix them up really well. Jake watched with anticipation, wondering what cards he would get.

With the deck now shuffled, Emily dealt five cards to each of them. They couldn't wait to see what cards they had been dealt, but they kept them facing down for now. Emily suggested that they take turns playing the game, and Jake agreed. They decided that Emily would go first.

Emily confidently picked a card from her hand and placed it face up on the table. It was a 7 of hearts. Jake eagerly followed suit, revealing a 4 of diamonds. Emily's card was higher, so she won that round. She collected both cards and added them to her pile.

They continued playing, each taking turns and placing their cards on the table. Sometimes Jake won a round, and other times Emily did. They laughed and cheered for each other as the game went on. They kept track of the rounds won by making tally marks on a piece of paper.

After all the cards had been played, they counted their tally marks. Emily had won six rounds, while Jake had won four. Emily was declared the winner of the game, and they both congratulated each other on a fun and exciting match.

Playing games with your child can be a great way to bond and have fun together. Enjoying these moments will create lasting memories and strengthen your relationship.",,,Caitlyn Wang,,Reviewing
Play a game with my sibling (sibling's choice),,"Good Families,Estranged families",,,"Steps:
Step 1: Talk to your sibling and ask them what game they would like to play together. Make sure to listen carefully to their choice and show interest in their decision.

Step 2: Gather all the necessary materials needed to play the game. This could include cards, a board game, a ball, or any other items specific to the game your sibling chose.

Step 3: Find a suitable place to play the game. Make sure there is enough space and a comfortable environment for both you and your sibling to enjoy the game.

Step 4: Follow the rules of the game and take turns playing. Remember to be patient, respectful, and encouraging towards your sibling during the game. It's important to create a positive and supportive atmosphere while playing together.

Step 5: After finishing the game, reflect on the experience with your sibling. Discuss what you both enjoyed about the game and any strategies or skills you used. This will help strengthen your bond and create a sense of accomplishment.

Example:
Sarah wanted to play a game with her younger brother, Alex. She asked him, ""Hey Alex, what game would you like to play today?"" Alex thought for a moment and replied, ""I want to play Monopoly!"" Sarah smiled and said, ""That sounds like a fun game, let's get started!""

They went to the closet and took out the Monopoly board, cards, and the little game pieces. Sarah set up the board on the living room table while Alex excitedly chose his favorite game piece, the race car.

Once everything was ready, they sat down and began playing. Sarah took her time explaining the rules of the game to Alex and made sure he understood how to play. Throughout the game, they took turns rolling the dice, buying properties, and collecting money.

Sarah noticed that Alex was getting frustrated when he landed on other players' properties and had to pay rent. She gently reminded him to stay positive and encouraged him to keep trying his best. Sarah also praised him whenever he made a good move or made a smart decision in the game.

After a couple of hours, they finally finished the game. Sarah and Alex both had a great time playing together. They talked about their favorite parts of the game and laughed at some funny moments they had during the game. Sarah felt happy seeing how much fun Alex had and how they bonded over the game.

Playing a game with her sibling not only brought joy and laughter but also strengthened their relationship. Sarah and Alex couldn't wait to play another game together soon.",,,Caitlyn Wang,,Reviewing
play basketball or another sport once a week,"Improve my physical fitness,Increase participation in group activities",Declining physical health,,,"Steps:
Step 1: Gather the necessary equipment
- Get a basketball
- Find a suitable outdoor or indoor court
- Wear comfortable athletic clothing and proper footwear

Step 2: Warm up and stretch
- Start with a light jog or brisk walk for about 5 minutes to get your heart rate up
- Perform stretches for your arms, legs, and back to prevent injuries

Step 3: Practice basic skills
- Begin by dribbling the basketball with your dominant hand, keeping your eyes up and your body low
- Practice shooting the basketball towards the hoop, focusing on your form and aiming for accuracy
- Work on passing the ball to a partner or against a wall, practicing different types of passes like chest passes and bounce passes

Step 4: Engage in game-like activities
- Play a friendly one-on-one or two-on-two game with a friend to improve your skills and understanding of the game
- Participate in small-sided games or drills that simulate real game situations, such as 3-on-3 or 4-on-4 games

Step 5: Cool down and reflect
- Finish your session with a light jog or walk to gradually lower your heart rate
- Take a moment to reflect on your performance, noting areas of improvement and celebrating your successes

Example:
Julia loved playing basketball. Every Saturday afternoon, she would gather her basketball, put on her favorite sneakers, and head to the local basketball court. She knew that to make the most out of her practice, she needed to follow a routine.

First, Julia gathered all her equipment. She made sure to bring her basketball, as well as wear comfortable athletic clothing and her trusty sneakers. With everything ready, she headed to the court.

Next, Julia knew the importance of warming up and stretching before engaging in any physical activity. She started with a light jog around the court, gradually increasing her speed. After a few minutes, she transitioned into stretching her arms, legs, and back, making sure to hold each stretch for about 15-20 seconds.

Once warmed up, Julia focused on practicing her basic skills. She dribbled the basketball with her dominant hand, keeping her eyes up and her body low. She challenged herself to improve her shooting, aiming for the hoop with precision and focusing on her shooting form. Additionally, she worked on passing the ball to her friend, practicing different types of passes like chest passes and bounce passes.

Feeling confident in her skills, Julia decided to engage in game-like activities. She played a friendly one-on-one game with her friend, practicing her dribbling, shooting, and defense. They also participated in small-sided games with a few other friends, simulating real game situations and enhancing their teamwork and decision-making abilities.

As the practice session came to an end, Julia took some time to cool down and reflect. She jogged lightly around the court to gradually lower her heart rate and prevent any muscle soreness. Sitting on the bench, she reflected on her performance, noting areas where she excelled and areas that needed improvement. She felt proud of her progress and couldn't wait for the next basketball practice.

By following these steps, Julia was able to enjoy her weekly basketball sessions and improve her skills on the court.",,,Caitlyn Wang,,Reviewing
"play by the rules, even though I don't like them",Winning and losing graciously,Self-Regulation and Coping,"Hitting others,Breaking others' things,Breaking own things,Making verbal threats,Meltdown,""Talking back, rude tone/words"",Threatening to take away privileges,Take away privileges without warning/clear expectations,Yelling reprimands,Hitting/spanking,Sending to time-out,Talking back/arguing with adult,""Mean remarks about looks, intelligence, potential"",Yanking/excessive physical force,Throwing items,Putting others down,Kicking others,Tantrum",,"Steps:
Step 1: Understand the rules
- Read the rules carefully and make sure you understand each one.
- If there's anything you don't understand, ask a teacher, coach, or someone who knows the rules well.

Step 2: Practice following the rules
- Play the game or activity with others who follow the rules.
- Pay attention to how they play and try to imitate their actions.
- Remind yourself why rules are important for fair play and everyone's enjoyment.

Step 3: Identify the benefits of following rules
- Think about the positive outcomes that can result from playing by the rules, such as fair competition, teamwork, and respect for others.
- Consider how breaking the rules can lead to negative consequences, like getting penalties or losing the trust of others.

Step 4: Find motivation in the game or activity
- Focus on the enjoyment and growth you can experience by participating in the game or activity.
- Set personal goals and challenge yourself to improve your skills and performance within the rules.

Step 5: Seek support from peers and adults
- Talk to your friends or teammates about your feelings towards the rules and ask for their perspective.
- Share your concerns with a trusted adult who can help you understand the importance of rules and provide guidance.

Example:
Meet Sarah, a sixth-grader who loves playing basketball. She's always been passionate about the game, but lately, she's been struggling with following the rules. Sarah finds them restricting and feels they limit her creativity on the court.

One day, Sarah's coach introduced a new rule during practice. Instead of immediately dismissing it, Sarah decided to give it a chance. She carefully read the rule and realized it was designed to ensure fairness and encourage teamwork. Although she didn't particularly like the rule, she understood why it was necessary.

During the next practice, Sarah observed her teammates following the rule and noticed how it improved the flow of the game. She started to see the benefits of everyone playing by the same set of rules, including fair competition and smoother gameplay. Sarah began to see the rules as a way to level the playing field and promote unity among her team.

As she continued to practice, Sarah set personal goals for herself. She challenged herself to improve her shooting accuracy and dribbling skills within the rules. She found motivation in the game itself, realizing that by following the rules, she could become a better player and contribute more effectively to her team's success.

Sarah also confided in her friends, sharing her frustrations about the rules. To her surprise, they empathized with her but also highlighted the importance of rules in maintaining order and fairness. Sarah appreciated their support and began to understand that her feelings were valid but could coexist with following the rules.

Over time, Sarah's perspective shifted. She still had moments of frustration, but she embraced the rules as a necessary part of the game. Sarah realized that by accepting and following the rules, she was not only becoming a better player but also developing valuable life skills such as discipline and respect for others.

Remember, Sarah's journey to accepting and following the rules wasn't easy, but by understanding their purpose, seeking motivation, and seeking support, she was able to find a balance between her creativity and the rules of the game. You can do the same!",,,Caitlyn Wang,,Reviewing
Politely say when I don't like something,,Self-Regulation and Coping,,,"Steps:
Step 1: Take a deep breath and calm yourself before responding.

Step 2: Use polite and respectful language to express your feelings. For example, say ""I appreciate your offer, but I don't really enjoy that activity"" or ""Thank you for thinking of me, but I would prefer not to participate in that.""

Step 3: Offer an alternative suggestion or propose a different activity that you would enjoy. This can help redirect the conversation and maintain a positive interaction. For example, say ""I would love to do something else instead. How about we try this instead?""

Step 4: Listen attentively to the other person's response. It's important to be open-minded and understanding of their feelings as well.

Step 5: Remember to maintain a friendly and kind demeanor throughout the conversation. It's okay to disagree or have different preferences, but it's important to treat others with respect and kindness.

Example:
Emily was invited to join her friends for a game of soccer after school. She knew that her friends loved playing soccer, but it wasn't her favorite activity. Instead of declining abruptly, she took a deep breath and composed herself before responding.

""Thank you so much for inviting me to play soccer with you all,"" Emily said with a smile. ""I appreciate your offer, but I don't really enjoy playing soccer. However, I would love to do something else instead. How about we go to the park and play frisbee? I think that would be a lot of fun!""

Her friends looked a bit surprised but listened attentively to Emily's suggestion. After a brief pause, one of her friends spoke up, ""Hmm, frisbee sounds like a great idea! Let's give it a try!""

Emily's polite and considerate response not only allowed her to express her dislike for soccer but also provided an alternative activity that everyone could enjoy. By maintaining a friendly and kind demeanor throughout the conversation, she managed to maintain positive relationships with her friends while still expressing her preferences.",,,Caitlyn Wang,,Reviewing
