513,Poor Mental Health,Pre-diagnosis
514,Motivation and procrastination,not quite on top of things but not yet behind on work.  
515,Parenting Stress,"struggling with connecting with kids and discipline
"
516,Perfectionism,Fear of failure and feeling unnecessary stress from perfectionism
517,Personal Care and Hygiene,skills related to taking care of oneself
518,Declining physical health,want to get healthier. general health problems.   no series illnesses
519,Resilience,"giving up too quickly or easily, can't bounce back"
520,Self-Regulation and Coping,"""overreacting"" "
521,Estranged families,"family members on non-speaking terms (i.e. grandparents, siblings)"
522,Need Tolerance Inclusion,"extremists, bigots.  people who need more tolerance"
523,Trauma,"emotional abuse, need help setting boundaries"
524,Stress,general stress management
525,Debt,trying to get rid of debt and save more
526,Sleep Disturbance,"Unhealthy sleeping patterns, like inability to fall or stay asleep, frequent waking at night, consistently getting less than 7 hours per night"
527,Eating Disorder,"anorexia, bulimia, binge eating"
528,Aging,"dealing with natural changes in appearance, physical, mental capacities.  For disease, also tag Poor physical health"
529,Vaping/Smoking,Consuming nicotine vapor or cigarette smoke
530,Maintaining Employment,"keeping up with job duties harder for people with autism, adhd, depression, bipolar, substance abuse"
531,Just Relocated,"moved house recently, assimilation, culture shock, loneliness, making friends"
532,Diagnosed Depression,"diagnosis of depression or persistent depression symptoms, no energy, no pleasure, can escalate to suicide"
533,Behind on work,"boss has noticed loss of productivity, performance improvement plan"
534,FBA,working with an ABA agency or school on obtaining an FBA
535,Sibling Rivalry,"Interpersonal problems or fighting between siblings, need help with communication, boundaries, parent relations"
536,Suicidal Ideations,having thoughts about suicide or dying
537,Suicide Risk,action plans made for suicide and need external support
538,Emotional Abuse,"neglected or gaslit by romantic partner, parent, caregiver, trauma bonds"
539,Divorcing parents,user's parents are separated/divorced or separating/divorcing. 
540,No Friends,"user wants to make friends
"
541,SPED caregiver,burnout and stress from caring for high needs family members
542,Transition to adulthood/independence,"special ed and older teens/young adults who are finishing college, moving out, getting their own place, figuring out how to be independent"
543,Loneliness,"having no friends, feel like they have no one to talk to "
544,Poor social skills,"has a hard time connecting with other people, having smooth conversations, knowing how to act in certain situations"
545,Social anxiety,"difficulty approaching others, ordering food, making phone calls, can also be neurodivergent or have clinical anxiety"
546,Lack of confidence,"wants to gain confidence and feel good about themselves
"
547,Personal Growth and Self-Actualization,this user is seeking more fulfillment and purpose in life
548,Hoarding,
549,Poverty,"living below the poverty line or significant debt. money troubles, no savings, can't pay bills every month"
550,Bipolar,"diagnosed with bipolar 1 or 2, or cyclothymia (a less severe version of BP2)"
551,Chronic illness,"lupus, diabetes, parkinsons, fibromyalgia, multiple sclerosis, and other progressive, terminal, or longterm medical diagnoses"
552,Sportmanship,"sore loser, too competitive"
553,General Intake,
554,Physical abuse,"punching, hitting, choking, scratching, throwing items "
555,Sexual abuse,"unwanted touching, sexual harrassment, rape, sexual assault, adult on adult, adult on minor"
556,Child abuse,need to heal from trauma from past event(s) in childhood
557,Incarcerated parent,"one or both parents are in jail or prison
"
558,Active Abuse,"can be sexual, physical, emotional, neglect, psychological, financial, reproductive"
559,ESL,ESL
560,unhappy with coach,unhappy with coach
561,Better academics,"want/need to do better in school.  If just not doing the work, tag behind on work or motivation/procrastination"
562,Active Quest,user is a primary or participating quester
563,ADHD ,diagnosed with ADHD or suspects ADHD
564,Excess Alcohol,"dealing with stress by excessive drinking, binge drinking, relationships and connectedness"
565,Anger ,"difficulty controlling anger or rage, needs help with mindfulness and self-regulation"
566,Clinical Anxiety,"for preclinical, go to stress
"
567,Attendance Problems,"user has problems going to and staying at school or work on time/for required time consistently, frequent call-outs"
568,Autism (Self),"diagnosed with autism (with or without speech delay), pervasive developmental disorder, global delays"
569,Challenging Behaviors,"Do we need separate ones for adult and kids? @Caitlin Ryan Marcus If so the school conduct problem can be for kids.
"
570,Job Hunting,"tough job market, hard to find employment after college even if highly qualified, tons of competition"
571,Communication Deficits,"want to become a more effective communicator, advocate for self, improve relationships
"
572,Bored,"no purpose, nothing to do
"
573,Discrimination/Racism,"user is part of a marginalized group, exclusion, bullying, microaggression"
574,Drug Use,"cocaine, heroin, pills, ketamine, fentanyl, crack cocaine, methamphetamines"
575,Executive Functioning Skills,"user's ability to plan ahead, control impulses. adhd, autism, learning disabilities, intellectual disability, addiction
"
576,Good Families,already pretty good family dynamimcs and motivated to maintain or grow further
577,Build wealth,"want to make more money, save money, invest money"
578,Bad Friends,"bad influences or friends who don't support them.  have these friends but still lonely
"
579,Hyperactivity/Inattention,Pre-ADHD diagnosis
580,Intellectual disability ID,diagnosis of intellectual disability/low IQ
581,Learning disability,"Dyslexia, dysgraphia, auditory processing difficulties, dyspraxia "
582,Poor Marriage,"marriage has problems, arguments, fighting, addiction, etc
"
583,Poor Mental Health,Pre-diagnosis
584,Motivation and procrastination,not quite on top of things but not yet behind on work.  
585,Parenting Stress,"struggling with connecting with kids and discipline
"
586,Perfectionism,Fear of failure and feeling unnecessary stress from perfectionism
587,Personal Care and Hygiene,skills related to taking care of oneself
588,Declining physical health,want to get healthier. general health problems.   no series illnesses
589,Resilience,"giving up too quickly or easily, can't bounce back"
590,Self-Regulation and Coping,"""overreacting"" "
591,Estranged families,"family members on non-speaking terms (i.e. grandparents, siblings)"
592,Need Tolerance Inclusion,"extremists, bigots.  people who need more tolerance"
593,Trauma,"emotional abuse, need help setting boundaries"
594,Stress,general stress management
595,Debt,trying to get rid of debt and save more
596,Sleep Disturbance,"Unhealthy sleeping patterns, like inability to fall or stay asleep, frequent waking at night, consistently getting less than 7 hours per night"
597,Eating Disorder,"anorexia, bulimia, binge eating"
598,Aging,"dealing with natural changes in appearance, physical, mental capacities.  For disease, also tag Poor physical health"
599,Vaping/Smoking,Consuming nicotine vapor or cigarette smoke
600,Maintaining Employment,"keeping up with job duties harder for people with autism, adhd, depression, bipolar, substance abuse"
601,Just Relocated,"moved house recently, assimilation, culture shock, loneliness, making friends"
602,Diagnosed Depression,"diagnosis of depression or persistent depression symptoms, no energy, no pleasure, can escalate to suicide"
603,Behind on work,"boss has noticed loss of productivity, performance improvement plan"
604,FBA,working with an ABA agency or school on obtaining an FBA
605,Sibling Rivalry,"Interpersonal problems or fighting between siblings, need help with communication, boundaries, parent relations"
606,Suicidal Ideations,having thoughts about suicide or dying
607,Suicide Risk,action plans made for suicide and need external support
608,Emotional Abuse,"neglected or gaslit by romantic partner, parent, caregiver, trauma bonds"
609,Divorcing parents,user's parents are separated/divorced or separating/divorcing. 
610,No Friends,"user wants to make friends
"
611,SPED caregiver,burnout and stress from caring for high needs family members
612,Transition to adulthood/independence,"special ed and older teens/young adults who are finishing college, moving out, getting their own place, figuring out how to be independent"
613,Loneliness,"having no friends, feel like they have no one to talk to "
614,Poor social skills,"has a hard time connecting with other people, having smooth conversations, knowing how to act in certain situations"
615,Social anxiety,"difficulty approaching others, ordering food, making phone calls, can also be neurodivergent or have clinical anxiety"
616,Lack of confidence,"wants to gain confidence and feel good about themselves
"
617,Personal Growth and Self-Actualization,this user is seeking more fulfillment and purpose in life
618,Hoarding,
619,Poverty,"living below the poverty line or significant debt. money troubles, no savings, can't pay bills every month"
620,Bipolar,"diagnosed with bipolar 1 or 2, or cyclothymia (a less severe version of BP2)"
621,Chronic illness,"lupus, diabetes, parkinsons, fibromyalgia, multiple sclerosis, and other progressive, terminal, or longterm medical diagnoses"
622,Sportmanship,"sore loser, too competitive"
623,General Intake,
624,Physical abuse,"punching, hitting, choking, scratching, throwing items "
625,Sexual abuse,"unwanted touching, sexual harrassment, rape, sexual assault, adult on adult, adult on minor"
626,Child abuse,need to heal from trauma from past event(s) in childhood
627,Incarcerated parent,"one or both parents are in jail or prison
"
628,Active Abuse,"can be sexual, physical, emotional, neglect, psychological, financial, reproductive"
629,ESL,ESL
630,unhappy with coach,unhappy with coach
631,Better academics,"want/need to do better in school.  If just not doing the work, tag behind on work or motivation/procrastination"
632,Active Quest,user is a primary or participating quester
633,ADHD ,diagnosed with ADHD or suspects ADHD
634,Excess Alcohol,"dealing with stress by excessive drinking, binge drinking, relationships and connectedness"
635,Anger ,"difficulty controlling anger or rage, needs help with mindfulness and self-regulation"
636,Clinical Anxiety,"for preclinical, go to stress
"
637,Attendance Problems,"user has problems going to and staying at school or work on time/for required time consistently, frequent call-outs"
638,Autism (Self),"diagnosed with autism (with or without speech delay), pervasive developmental disorder, global delays"
639,Challenging Behaviors,"Do we need separate ones for adult and kids? @Caitlin Ryan Marcus If so the school conduct problem can be for kids.
"
640,Job Hunting,"tough job market, hard to find employment after college even if highly qualified, tons of competition"
641,Communication Deficits,"want to become a more effective communicator, advocate for self, improve relationships
"
642,Bored,"no purpose, nothing to do
"
643,Discrimination/Racism,"user is part of a marginalized group, exclusion, bullying, microaggression"
644,Drug Use,"cocaine, heroin, pills, ketamine, fentanyl, crack cocaine, methamphetamines"
645,Executive Functioning Skills,"user's ability to plan ahead, control impulses. adhd, autism, learning disabilities, intellectual disability, addiction
"
646,Good Families,already pretty good family dynamimcs and motivated to maintain or grow further
647,Build wealth,"want to make more money, save money, invest money"
648,Bad Friends,"bad influences or friends who don't support them.  have these friends but still lonely
"
649,Hyperactivity/Inattention,Pre-ADHD diagnosis
650,Intellectual disability ID,diagnosis of intellectual disability/low IQ
651,Learning disability,"Dyslexia, dysgraphia, auditory processing difficulties, dyspraxia "
652,Poor Marriage,"marriage has problems, arguments, fighting, addiction, etc
"
653,Poor Mental Health,Pre-diagnosis
654,Motivation and procrastination,not quite on top of things but not yet behind on work.  
655,Parenting Stress,"struggling with connecting with kids and discipline
"
656,Perfectionism,Fear of failure and feeling unnecessary stress from perfectionism
657,Personal Care and Hygiene,skills related to taking care of oneself
658,Declining physical health,want to get healthier. general health problems.   no series illnesses
659,Resilience,"giving up too quickly or easily, can't bounce back"
660,Self-Regulation and Coping,"""overreacting"" "
661,Estranged families,"family members on non-speaking terms (i.e. grandparents, siblings)"
662,Need Tolerance Inclusion,"extremists, bigots.  people who need more tolerance"
663,Trauma,"emotional abuse, need help setting boundaries"
664,Stress,general stress management
665,Debt,trying to get rid of debt and save more
666,Sleep Disturbance,"Unhealthy sleeping patterns, like inability to fall or stay asleep, frequent waking at night, consistently getting less than 7 hours per night"
667,Eating Disorder,"anorexia, bulimia, binge eating"
668,Aging,"dealing with natural changes in appearance, physical, mental capacities.  For disease, also tag Poor physical health"
669,Vaping/Smoking,Consuming nicotine vapor or cigarette smoke
670,Maintaining Employment,"keeping up with job duties harder for people with autism, adhd, depression, bipolar, substance abuse"
671,Just Relocated,"moved house recently, assimilation, culture shock, loneliness, making friends"
672,Diagnosed Depression,"diagnosis of depression or persistent depression symptoms, no energy, no pleasure, can escalate to suicide"
673,Behind on work,"boss has noticed loss of productivity, performance improvement plan"
674,FBA,working with an ABA agency or school on obtaining an FBA
675,Sibling Rivalry,"Interpersonal problems or fighting between siblings, need help with communication, boundaries, parent relations"
676,Suicidal Ideations,having thoughts about suicide or dying
677,Suicide Risk,action plans made for suicide and need external support
678,Emotional Abuse,"neglected or gaslit by romantic partner, parent, caregiver, trauma bonds"
679,Divorcing parents,user's parents are separated/divorced or separating/divorcing. 
680,No Friends,"user wants to make friends
"
681,SPED caregiver,burnout and stress from caring for high needs family members
682,Transition to adulthood/independence,"special ed and older teens/young adults who are finishing college, moving out, getting their own place, figuring out how to be independent"
683,Loneliness,"having no friends, feel like they have no one to talk to "
684,Poor social skills,"has a hard time connecting with other people, having smooth conversations, knowing how to act in certain situations"
685,Social anxiety,"difficulty approaching others, ordering food, making phone calls, can also be neurodivergent or have clinical anxiety"
686,Lack of confidence,"wants to gain confidence and feel good about themselves
"
687,Personal Growth and Self-Actualization,this user is seeking more fulfillment and purpose in life
688,Hoarding,
689,Poverty,"living below the poverty line or significant debt. money troubles, no savings, can't pay bills every month"
690,Bipolar,"diagnosed with bipolar 1 or 2, or cyclothymia (a less severe version of BP2)"
691,Chronic illness,"lupus, diabetes, parkinsons, fibromyalgia, multiple sclerosis, and other progressive, terminal, or longterm medical diagnoses"
692,Sportmanship,"sore loser, too competitive"
693,General Intake,
694,Physical abuse,"punching, hitting, choking, scratching, throwing items "
695,Sexual abuse,"unwanted touching, sexual harrassment, rape, sexual assault, adult on adult, adult on minor"
696,Child abuse,need to heal from trauma from past event(s) in childhood
697,Incarcerated parent,"one or both parents are in jail or prison
"
698,Active Abuse,"can be sexual, physical, emotional, neglect, psychological, financial, reproductive"
699,ESL,ESL
700,unhappy with coach,unhappy with coach
701,Better academics,"want/need to do better in school.  If just not doing the work, tag behind on work or motivation/procrastination"
702,Active Quest,user is a primary or participating quester
703,ADHD ,diagnosed with ADHD or suspects ADHD
704,Excess Alcohol,"dealing with stress by excessive drinking, binge drinking, relationships and connectedness"
705,Anger ,"difficulty controlling anger or rage, needs help with mindfulness and self-regulation"
706,Clinical Anxiety,"for preclinical, go to stress
"
707,Attendance Problems,"user has problems going to and staying at school or work on time/for required time consistently, frequent call-outs"
708,Autism (Self),"diagnosed with autism (with or without speech delay), pervasive developmental disorder, global delays"
709,Challenging Behaviors,"Do we need separate ones for adult and kids? @Caitlin Ryan Marcus If so the school conduct problem can be for kids.
"
710,Job Hunting,"tough job market, hard to find employment after college even if highly qualified, tons of competition"
711,Communication Deficits,"want to become a more effective communicator, advocate for self, improve relationships
"
712,Bored,"no purpose, nothing to do
"
713,Discrimination/Racism,"user is part of a marginalized group, exclusion, bullying, microaggression"
714,Drug Use,"cocaine, heroin, pills, ketamine, fentanyl, crack cocaine, methamphetamines"
715,Executive Functioning Skills,"user's ability to plan ahead, control impulses. adhd, autism, learning disabilities, intellectual disability, addiction
"
716,Good Families,already pretty good family dynamimcs and motivated to maintain or grow further
717,Build wealth,"want to make more money, save money, invest money"
718,Bad Friends,"bad influences or friends who don't support them.  have these friends but still lonely
"
719,Hyperactivity/Inattention,Pre-ADHD diagnosis
720,Intellectual disability ID,diagnosis of intellectual disability/low IQ
721,Learning disability,"Dyslexia, dysgraphia, auditory processing difficulties, dyspraxia "
722,Poor Marriage,"marriage has problems, arguments, fighting, addiction, etc
"
723,Poor Mental Health,Pre-diagnosis
724,Motivation and procrastination,not quite on top of things but not yet behind on work.  
725,Parenting Stress,"struggling with connecting with kids and discipline
"
726,Perfectionism,Fear of failure and feeling unnecessary stress from perfectionism
727,Personal Care and Hygiene,skills related to taking care of oneself
728,Declining physical health,want to get healthier. general health problems.   no series illnesses
729,Resilience,"giving up too quickly or easily, can't bounce back"
730,Self-Regulation and Coping,"""overreacting"" "
731,Estranged families,"family members on non-speaking terms (i.e. grandparents, siblings)"
732,Need Tolerance Inclusion,"extremists, bigots.  people who need more tolerance"
733,Trauma,"emotional abuse, need help setting boundaries"
734,Stress,general stress management
735,Debt,trying to get rid of debt and save more
736,Sleep Disturbance,"Unhealthy sleeping patterns, like inability to fall or stay asleep, frequent waking at night, consistently getting less than 7 hours per night"
737,Eating Disorder,"anorexia, bulimia, binge eating"
738,Aging,"dealing with natural changes in appearance, physical, mental capacities.  For disease, also tag Poor physical health"
739,Vaping/Smoking,Consuming nicotine vapor or cigarette smoke
740,Maintaining Employment,"keeping up with job duties harder for people with autism, adhd, depression, bipolar, substance abuse"
741,Just Relocated,"moved house recently, assimilation, culture shock, loneliness, making friends"
742,Diagnosed Depression,"diagnosis of depression or persistent depression symptoms, no energy, no pleasure, can escalate to suicide"
743,Behind on work,"boss has noticed loss of productivity, performance improvement plan"
744,FBA,working with an ABA agency or school on obtaining an FBA
745,Sibling Rivalry,"Interpersonal problems or fighting between siblings, need help with communication, boundaries, parent relations"
746,Suicidal Ideations,having thoughts about suicide or dying
747,Suicide Risk,action plans made for suicide and need external support
748,Emotional Abuse,"neglected or gaslit by romantic partner, parent, caregiver, trauma bonds"
749,Divorcing parents,user's parents are separated/divorced or separating/divorcing. 
750,No Friends,"user wants to make friends
"
751,SPED caregiver,burnout and stress from caring for high needs family members
752,Transition to adulthood/independence,"special ed and older teens/young adults who are finishing college, moving out, getting their own place, figuring out how to be independent"
753,Loneliness,"having no friends, feel like they have no one to talk to "
754,Poor social skills,"has a hard time connecting with other people, having smooth conversations, knowing how to act in certain situations"
755,Social anxiety,"difficulty approaching others, ordering food, making phone calls, can also be neurodivergent or have clinical anxiety"
756,Lack of confidence,"wants to gain confidence and feel good about themselves
"
757,Personal Growth and Self-Actualization,this user is seeking more fulfillment and purpose in life
758,Hoarding,
759,Poverty,"living below the poverty line or significant debt. money troubles, no savings, can't pay bills every month"
760,Bipolar,"diagnosed with bipolar 1 or 2, or cyclothymia (a less severe version of BP2)"
761,Chronic illness,"lupus, diabetes, parkinsons, fibromyalgia, multiple sclerosis, and other progressive, terminal, or longterm medical diagnoses"
762,Sportmanship,"sore loser, too competitive"
763,General Intake,
764,Physical abuse,"punching, hitting, choking, scratching, throwing items "
765,Sexual abuse,"unwanted touching, sexual harrassment, rape, sexual assault, adult on adult, adult on minor"
766,Child abuse,need to heal from trauma from past event(s) in childhood
767,Incarcerated parent,"one or both parents are in jail or prison
"
768,Active Abuse,"can be sexual, physical, emotional, neglect, psychological, financial, reproductive"
769,ESL,ESL
770,unhappy with coach,unhappy with coach
771,Better academics,"want/need to do better in school.  If just not doing the work, tag behind on work or motivation/procrastination"
772,Active Quest,user is a primary or participating quester
773,ADHD ,diagnosed with ADHD or suspects ADHD
774,Excess Alcohol,"dealing with stress by excessive drinking, binge drinking, relationships and connectedness"
775,Anger ,"difficulty controlling anger or rage, needs help with mindfulness and self-regulation"
776,Clinical Anxiety,"for preclinical, go to stress
"
777,Attendance Problems,"user has problems going to and staying at school or work on time/for required time consistently, frequent call-outs"
778,Autism (Self),"diagnosed with autism (with or without speech delay), pervasive developmental disorder, global delays"
779,Challenging Behaviors,"Do we need separate ones for adult and kids? @Caitlin Ryan Marcus If so the school conduct problem can be for kids.
"
780,Job Hunting,"tough job market, hard to find employment after college even if highly qualified, tons of competition"
781,Communication Deficits,"want to become a more effective communicator, advocate for self, improve relationships
"
782,Bored,"no purpose, nothing to do
"
783,Discrimination/Racism,"user is part of a marginalized group, exclusion, bullying, microaggression"
784,Drug Use,"cocaine, heroin, pills, ketamine, fentanyl, crack cocaine, methamphetamines"
785,Executive Functioning Skills,"user's ability to plan ahead, control impulses. adhd, autism, learning disabilities, intellectual disability, addiction
"
786,Good Families,already pretty good family dynamimcs and motivated to maintain or grow further
787,Build wealth,"want to make more money, save money, invest money"
788,Bad Friends,"bad influences or friends who don't support them.  have these friends but still lonely
"
789,Hyperactivity/Inattention,Pre-ADHD diagnosis
790,Intellectual disability ID,diagnosis of intellectual disability/low IQ
791,Learning disability,"Dyslexia, dysgraphia, auditory processing difficulties, dyspraxia "
792,Poor Marriage,"marriage has problems, arguments, fighting, addiction, etc
"
793,Poor Mental Health,Pre-diagnosis
794,Motivation and procrastination,not quite on top of things but not yet behind on work.  
795,Parenting Stress,"struggling with connecting with kids and discipline
"
796,Perfectionism,Fear of failure and feeling unnecessary stress from perfectionism
797,Personal Care and Hygiene,skills related to taking care of oneself
798,Declining physical health,want to get healthier. general health problems.   no series illnesses
799,Resilience,"giving up too quickly or easily, can't bounce back"
800,Self-Regulation and Coping,"""overreacting"" "
801,Estranged families,"family members on non-speaking terms (i.e. grandparents, siblings)"
802,Need Tolerance Inclusion,"extremists, bigots.  people who need more tolerance"
803,Trauma,"emotional abuse, need help setting boundaries"
804,Stress,general stress management
805,Debt,trying to get rid of debt and save more
806,Sleep Disturbance,"Unhealthy sleeping patterns, like inability to fall or stay asleep, frequent waking at night, consistently getting less than 7 hours per night"
807,Eating Disorder,"anorexia, bulimia, binge eating"
808,Aging,"dealing with natural changes in appearance, physical, mental capacities.  For disease, also tag Poor physical health"
809,Vaping/Smoking,Consuming nicotine vapor or cigarette smoke
810,Maintaining Employment,"keeping up with job duties harder for people with autism, adhd, depression, bipolar, substance abuse"
811,Just Relocated,"moved house recently, assimilation, culture shock, loneliness, making friends"
812,Diagnosed Depression,"diagnosis of depression or persistent depression symptoms, no energy, no pleasure, can escalate to suicide"
813,Behind on work,"boss has noticed loss of productivity, performance improvement plan"
814,FBA,working with an ABA agency or school on obtaining an FBA
815,Sibling Rivalry,"Interpersonal problems or fighting between siblings, need help with communication, boundaries, parent relations"
816,Suicidal Ideations,having thoughts about suicide or dying
817,Suicide Risk,action plans made for suicide and need external support
818,Emotional Abuse,"neglected or gaslit by romantic partner, parent, caregiver, trauma bonds"
819,Divorcing parents,user's parents are separated/divorced or separating/divorcing. 
820,No Friends,"user wants to make friends
"
821,SPED caregiver,burnout and stress from caring for high needs family members
822,Transition to adulthood/independence,"special ed and older teens/young adults who are finishing college, moving out, getting their own place, figuring out how to be independent"
823,Loneliness,"having no friends, feel like they have no one to talk to "
824,Poor social skills,"has a hard time connecting with other people, having smooth conversations, knowing how to act in certain situations"
825,Social anxiety,"difficulty approaching others, ordering food, making phone calls, can also be neurodivergent or have clinical anxiety"
826,Lack of confidence,"wants to gain confidence and feel good about themselves
"
827,Personal Growth and Self-Actualization,this user is seeking more fulfillment and purpose in life
828,Hoarding,
829,Poverty,"living below the poverty line or significant debt. money troubles, no savings, can't pay bills every month"
830,Bipolar,"diagnosed with bipolar 1 or 2, or cyclothymia (a less severe version of BP2)"
831,Chronic illness,"lupus, diabetes, parkinsons, fibromyalgia, multiple sclerosis, and other progressive, terminal, or longterm medical diagnoses"
832,Sportmanship,"sore loser, too competitive"
833,General Intake,
834,Physical abuse,"punching, hitting, choking, scratching, throwing items "
835,Sexual abuse,"unwanted touching, sexual harrassment, rape, sexual assault, adult on adult, adult on minor"
836,Child abuse,need to heal from trauma from past event(s) in childhood
837,Incarcerated parent,"one or both parents are in jail or prison
"
838,Active Abuse,"can be sexual, physical, emotional, neglect, psychological, financial, reproductive"
839,ESL,ESL
840,unhappy with coach,unhappy with coach
841,Better academics,"want/need to do better in school.  If just not doing the work, tag behind on work or motivation/procrastination"
842,Active Quest,user is a primary or participating quester
843,ADHD ,diagnosed with ADHD or suspects ADHD
844,Excess Alcohol,"dealing with stress by excessive drinking, binge drinking, relationships and connectedness"
845,Anger ,"difficulty controlling anger or rage, needs help with mindfulness and self-regulation"
846,Clinical Anxiety,"for preclinical, go to stress
"
847,Attendance Problems,"user has problems going to and staying at school or work on time/for required time consistently, frequent call-outs"
848,Autism (Self),"diagnosed with autism (with or without speech delay), pervasive developmental disorder, global delays"
849,Challenging Behaviors,"Do we need separate ones for adult and kids? @Caitlin Ryan Marcus If so the school conduct problem can be for kids.
"
850,Job Hunting,"tough job market, hard to find employment after college even if highly qualified, tons of competition"
851,Communication Deficits,"want to become a more effective communicator, advocate for self, improve relationships
"
852,Bored,"no purpose, nothing to do
"
853,Discrimination/Racism,"user is part of a marginalized group, exclusion, bullying, microaggression"
854,Drug Use,"cocaine, heroin, pills, ketamine, fentanyl, crack cocaine, methamphetamines"
855,Executive Functioning Skills,"user's ability to plan ahead, control impulses. adhd, autism, learning disabilities, intellectual disability, addiction
"
856,Good Families,already pretty good family dynamimcs and motivated to maintain or grow further
857,Build wealth,"want to make more money, save money, invest money"
858,Bad Friends,"bad influences or friends who don't support them.  have these friends but still lonely
"
859,Hyperactivity/Inattention,Pre-ADHD diagnosis
860,Intellectual disability ID,diagnosis of intellectual disability/low IQ
861,Learning disability,"Dyslexia, dysgraphia, auditory processing difficulties, dyspraxia "
862,Poor Marriage,"marriage has problems, arguments, fighting, addiction, etc
"
863,Poor Mental Health,Pre-diagnosis
864,Motivation and procrastination,not quite on top of things but not yet behind on work.  
865,Parenting Stress,"struggling with connecting with kids and discipline
"
866,Perfectionism,Fear of failure and feeling unnecessary stress from perfectionism
867,Personal Care and Hygiene,skills related to taking care of oneself
868,Declining physical health,want to get healthier. general health problems.   no series illnesses
869,Resilience,"giving up too quickly or easily, can't bounce back"
870,Self-Regulation and Coping,"""overreacting"" "
871,Estranged families,"family members on non-speaking terms (i.e. grandparents, siblings)"
872,Need Tolerance Inclusion,"extremists, bigots.  people who need more tolerance"
873,Trauma,"emotional abuse, need help setting boundaries"
874,Stress,general stress management
875,Debt,trying to get rid of debt and save more
876,Sleep Disturbance,"Unhealthy sleeping patterns, like inability to fall or stay asleep, frequent waking at night, consistently getting less than 7 hours per night"
877,Eating Disorder,"anorexia, bulimia, binge eating"
878,Aging,"dealing with natural changes in appearance, physical, mental capacities.  For disease, also tag Poor physical health"
879,Vaping/Smoking,Consuming nicotine vapor or cigarette smoke
880,Maintaining Employment,"keeping up with job duties harder for people with autism, adhd, depression, bipolar, substance abuse"
881,Just Relocated,"moved house recently, assimilation, culture shock, loneliness, making friends"
882,Diagnosed Depression,"diagnosis of depression or persistent depression symptoms, no energy, no pleasure, can escalate to suicide"
883,Behind on work,"boss has noticed loss of productivity, performance improvement plan"
884,FBA,working with an ABA agency or school on obtaining an FBA
885,Sibling Rivalry,"Interpersonal problems or fighting between siblings, need help with communication, boundaries, parent relations"
886,Suicidal Ideations,having thoughts about suicide or dying
887,Suicide Risk,action plans made for suicide and need external support
888,Emotional Abuse,"neglected or gaslit by romantic partner, parent, caregiver, trauma bonds"
889,Divorcing parents,user's parents are separated/divorced or separating/divorcing. 
890,No Friends,"user wants to make friends
"
891,SPED caregiver,burnout and stress from caring for high needs family members
892,Transition to adulthood/independence,"special ed and older teens/young adults who are finishing college, moving out, getting their own place, figuring out how to be independent"
893,Loneliness,"having no friends, feel like they have no one to talk to "
894,Poor social skills,"has a hard time connecting with other people, having smooth conversations, knowing how to act in certain situations"
895,Social anxiety,"difficulty approaching others, ordering food, making phone calls, can also be neurodivergent or have clinical anxiety"
896,Lack of confidence,"wants to gain confidence and feel good about themselves
"
897,Personal Growth and Self-Actualization,this user is seeking more fulfillment and purpose in life
898,Hoarding,
899,Poverty,"living below the poverty line or significant debt. money troubles, no savings, can't pay bills every month"
900,Bipolar,"diagnosed with bipolar 1 or 2, or cyclothymia (a less severe version of BP2)"
901,Chronic illness,"lupus, diabetes, parkinsons, fibromyalgia, multiple sclerosis, and other progressive, terminal, or longterm medical diagnoses"
902,Sportmanship,"sore loser, too competitive"
903,General Intake,
904,Physical abuse,"punching, hitting, choking, scratching, throwing items "
905,Sexual abuse,"unwanted touching, sexual harrassment, rape, sexual assault, adult on adult, adult on minor"
906,Child abuse,need to heal from trauma from past event(s) in childhood
907,Incarcerated parent,"one or both parents are in jail or prison
"
908,Active Abuse,"can be sexual, physical, emotional, neglect, psychological, financial, reproductive"
909,ESL,ESL
910,unhappy with coach,unhappy with coach
911,Better academics,"want/need to do better in school.  If just not doing the work, tag behind on work or motivation/procrastination"
912,Active Quest,user is a primary or participating quester
913,ADHD ,diagnosed with ADHD or suspects ADHD
914,Excess Alcohol,"dealing with stress by excessive drinking, binge drinking, relationships and connectedness"
915,Anger ,"difficulty controlling anger or rage, needs help with mindfulness and self-regulation"
916,Clinical Anxiety,"for preclinical, go to stress
"
917,Attendance Problems,"user has problems going to and staying at school or work on time/for required time consistently, frequent call-outs"
918,Autism (Self),"diagnosed with autism (with or without speech delay), pervasive developmental disorder, global delays"
919,Challenging Behaviors,"Do we need separate ones for adult and kids? @Caitlin Ryan Marcus If so the school conduct problem can be for kids.
"
920,Job Hunting,"tough job market, hard to find employment after college even if highly qualified, tons of competition"
921,Communication Deficits,"want to become a more effective communicator, advocate for self, improve relationships
"
922,Bored,"no purpose, nothing to do
"
923,Discrimination/Racism,"user is part of a marginalized group, exclusion, bullying, microaggression"
924,Drug Use,"cocaine, heroin, pills, ketamine, fentanyl, crack cocaine, methamphetamines"
925,Executive Functioning Skills,"user's ability to plan ahead, control impulses. adhd, autism, learning disabilities, intellectual disability, addiction
"
926,Good Families,already pretty good family dynamimcs and motivated to maintain or grow further
927,Build wealth,"want to make more money, save money, invest money"
928,Bad Friends,"bad influences or friends who don't support them.  have these friends but still lonely
"
929,Hyperactivity/Inattention,Pre-ADHD diagnosis
